Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
SAO PAULO;50188;12032.000162/2012-00;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;05553237000113 - Contato Rio Serviços - Eireli;SERVIÇOS DE TRANSPORTE.;17/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2013;17/12/2012;16/12/2013;248884,94
SAO PAULO;50189;12032.000162/2012-00;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;10944071000104 - Rogerio Gimenes - EPP;SERVIÇOS DE TRANSPORTE.;17/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2013;17/12/2012;16/12/2013;305058,34
SAO PAULO;50191;12032.000212/2012-41;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;03539770000103 - MRO Serviços Ltda.;MANUTENÇÃO PREVENTIVA E CORRETIVA DE SISTEMAS, EQUIPAMENTOS E INSTALAÇÕES PREDIAIS.;26/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;04/01/2013;02/01/2013;01/01/2014;875580,00
BELO HORIZONTE;50194;19868.000031/2008-54;ADITIVOS;06227199000171 - PERINATAL SERVIÇOS MÉDICOS S/S ;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/01/2013;23/12/2012;22/12/2013;221268,72
BRASILIA;50190;12014.000048/2008-11;ADITIVOS;00306524000105 - LEISTUNG COMÉRCIO E SERVIÇOS DE SISTEMAS DE ENERGIA LTDA;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;08/01/2013;28/12/2012;02/09/2013;36744,26
BRASILIA;50199;12014.000046/2008-14;ADITIVOS;90347840000622 - THYSSENKRUPP ELEVADORES S/A;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;08/01/2013;28/12/2012;21/10/2013;536,28
FORTALEZA;50192;19865.000066/2012-08;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;14742012000104 - GRID POWER SOLUTIONS;AQUISIÇÃO DE VENTILADORES.;27/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;08/01/2013;27/12/2012;26/02/2013;19250,00
RIO DE JANEIRO HORTO;50198;12023.000177/2012-79;ADITIVOS;05504343000107 - APEC AVALIAÇOES E PERÍCIAS DE ENGENHARIA CIVIL S/C LTDA.;PRORROGAR PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;27/12/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/01/2013;01/01/2013;15/02/2013;0,00
RIO DE JANEIRO HORTO;50201;12023.000345/2011-45;ADITIVOS;01815999000190 - Torres Engenharia e Consultoria Ltda;PRORROGAR PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;27/12/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/01/2013;01/01/2013;30/06/2013;0,00
SALVADOR;50200;19867.000283/2011-99;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;04164616000159 - TNL PCS S/A;SERVIÇOS DE TELEFONIA MÓVEL.;;LEI 10.520/2002 E DECRETO 5.450/2005.;08/01/2013;17/12/2012;16/12/2013;47429,40
SAO PAULO;50197;12032.000014/2009-81;ADITIVOS;01011976000122 - ORION TELECOMUNICAÇÕES ENGENHARIA LTDA;CESSÃO DE DIREITOS E OBRIGAÇÕES.;;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA E OS ARTS. 288 E 349, DA LEI 10.406/2002 (CÓDIGO CIVIL), NO QUE FOR PERTINENTE.;08/01/2013;06/12/2012;31/08/2014;0,00
